NewDataLabel,OldDataLabel,Diff
Elec_EnergyPlugsInstKitA,Elec_EnergyRPBB6PlugsInstKitA,Yes
Elec_EnergyPlugsInstMudroomB,Elec_EnergyRPBB7PlugsInstMudroomB,Yes
Elec_EnergyPlugsInstDRA,Elec_EnergyRPBB9PlugsInstDRA,Yes
Elec_PowerPlugsInstBR4A,Elec_PowerRPBB10PlugsInstBR4A,Yes
Elec_PowerPlugsInstBR4B,Elec_PowerRPBB12PlugsInstBR4A,Yes
Elec_PowerPlugsInstLRA,Elec_PowerRPBB13PlugsInstLRA,Yes
Elec_PowerPlugsInstLRB,Elec_PowerRPBB16PlugsInstLRB,Yes
Elec_PowerPlugsInstBA2,Elec_PowerRPBB18PlugsInstBA2,Yes
Elec_PowerPlugsInstMBAB,Elec_PowerRPBB19PlugsInstMBAB,Yes
Elec_PowerPlugsGSHPInstrumentation,Elec_PowerRPBB1PlugsGSHPInstrumentation,Yes
Elec_PowerPlugsInstMBRA,Elec_PowerRPBB21PlugsInstMBRA,Yes
Elec_PowerPlugsInstBR2Hall,Elec_PowerRPBB22PlugsInstBR2Hall,Yes
Elec_PowerPlugsInstHall,Elec_PowerRPBB24PlugsInstHall,Yes
Elec_PowerLightingControlPanelRPS1,Elec_PowerRPBB25LightingControlPanelRPS1,Yes
Elec_PowerPlugsInstBR3,Elec_PowerRPBB26PlugsInstBR3,Yes
Elec_PowerHeatLoadforRefrigerator,Elec_PowerRPBB29HeatLoadforRefrigerator,Yes
Elec_PowerPlugsInstMudroomA,Elec_PowerRPBB2PlugsInstMudroomA,Yes
Elec_PowerLightingControlPanelRPS2,Elec_PowerRPBB31LightingControlPanelRPS2,Yes
Elec_PowerPlugsHVACInstrumentation,Elec_PowerRPBB3PlugsHVACInstrumentation,Yes
Elec_PowerPlugsInstKitD,Elec_PowerRPBB40PlugsInstKitD,Yes
Elec_PowerPlugsInstBA1,Elec_PowerRPBB4PlugsInstBA1,Yes
Elec_PowerPlugsInstKitA,Elec_PowerRPBB6PlugsInstKitA,Yes
Elec_PowerPlugsInstMudroomB,Elec_PowerRPBB7PlugsInstMudroomB,Yes
Elec_PowerPlugsInstDRA,Elec_PowerRPBB9PlugsInstDRA,Yes
Elec_EnergyLightsBasementStair,Elec_EnergyRPB5LightsBasementStair,Yes
Elec_EnergyLights2ndFloor,Elec_EnergyRPBA2Lights2ndFloor,Yes
Elec_EnergyLights1stFloorA,Elec_EnergyRPBA32Lights1stFloorA,Yes
Elec_EnergyLights1stFloorB,Elec_EnergyRPBA34Lights1stFloorB,Yes
Elec_EnergyLightsBasement,Elec_EnergyRPBB33LightsBasement,Yes
Elec_EnergyLightsAttic,Elec_EnergyRPBB5LightsAttic,Yes
Elec_PowerLightsBasementStair,Elec_PowerRPB5LightsBasementStair,Yes
Elec_PowerLights2ndFloor,Elec_PowerRPBA2Lights2ndFloor,Yes
Elec_PowerLights1stFloorA,Elec_PowerRPBA32Lights1stFloorA,Yes
Elec_PowerLights1stFloorB,Elec_PowerRPBA34Lights1stFloorB,Yes
Elec_PowerLightsBasement,Elec_PowerRPBB33LightsBasement,Yes
Elec_PowerLightsAttic,Elec_PowerRPBB5LightsAttic,Yes
Elec_EnergyChildBDownstairs,Elec_EnergyRPBB11ChildBDownstairs,Yes
Elec_EnergyChildADownstairs,Elec_EnergyRPBB15ChildADownstairs,Yes
Elec_EnergyParentAUpstairs,Elec_EnergyRPBB23ParentAUpstairs,Yes
Elec_EnergyChildAUpstairs,Elec_EnergyRPBB27ChildAUpstairs,Yes
Elec_EnergyChildBUpstairs,Elec_EnergyRPBB28ChildBUpstairs,Yes
Elec_EnergyParentBUpstairs,Elec_EnergyRPBB34ParentBUpstairs,Yes
Elec_EnergyParentBDownstairs,Elec_EnergyRPBB39ParentBDownstairs,Yes
Elec_EnergyParentADownstairs,Elec_EnergyRPBB8ParentADownstairs,Yes
Elec_PowerChildBDownstairs,Elec_PowerRPBB11ChildBDownstairs,Yes
Elec_PowerChildADownstairs,Elec_PowerRPBB15ChildADownstairs,Yes
Elec_PowerParentAUpstairs,Elec_PowerRPBB23ParentAUpstairs,Yes
Elec_PowerChildAUpstairs,Elec_PowerRPBB27ChildAUpstairs,Yes
Elec_PowerChildBUpstairs,Elec_PowerRPBB28ChildBUpstairs,Yes
Elec_PowerParentBUpstairs,Elec_PowerRPBB34ParentBUpstairs,Yes
Elec_PowerParentBDownstairs,Elec_PowerRPBB39ParentBDownstairs,Yes
Elec_PowerParentADownstairs,Elec_PowerRPBB8ParentADownstairs,Yes
Load_1stFloorLightsEnergyUsage,Load_1stFloorLightsEnergyUsage,
Load_1stFloorLightsPowerUsage,Load_1stFloorLightsPowerUsage,
Load_1stFloorSensHeatEnergyUsage,Load_1stFloorSensHeatEnergyUsage,
Load_1stFloorSensHeatPowerUsage,Load_1stFloorSensHeatPowerUsage,
Load_2ndFloorLightsEnergyUsage,Load_2ndFloorLightsEnergyUsage,
Load_2ndFloorLightsPowerUsage,Load_2ndFloorLightsPowerUsage,
Load_2ndFloorSensHeatEnergyUsage,Load_2ndFloorSensHeatEnergyUsage,
Load_2ndFloorSensHeatPowerUsage,Load_2ndFloorSensHeatPowerUsage,
Load_BasementPlugLoadsEnergyUsage,Load_BasementPlugLoadsEnergyUsage,
Load_BasementPlugLoadsPowerUsage,Load_BasementPlugLoadsPowerUsage,
Load_BR2PlugLoadsEnergyUsage,Load_BR2PlugLoadsExpectedEnergyUsage,Yes
